Time,Match Mode,Entry Fee,Notes
10:00 AM,SOLO,₹24,
10:15 AM,SOLO,₹24,
10:30 AM,SOLO,₹39,
10:45 AM,DUO,₹24,
11:00 AM,SOLO,₹39,
11:15 AM,SOLO,₹24,
11:30 AM,SOLO,₹39,
11:45 AM,DUO,₹39,
12:00 PM,SOLO,₹39,
12:15 PM,SOLO,₹24,
12:30 PM,DUO,₹39,
12:45 PM,SOLO,₹39,
1:00 PM,SOLO,₹24,
1:15 PM,SOLO,₹39,
1:30 PM,DUO,₹39,
1:45 PM,SOLO,₹49,
2:00 PM,SOLO,₹24,
2:15 PM,SOLO,₹39,
2:30 PM,DUO,₹49,
2:45 PM,SOLO,₹59,
3:00 PM,SOLO,₹39,
3:15 PM,SOLO,₹24,
3:30 PM,DUO,₹39,
3:45 PM,SOLO,₹49,
4:00 PM,SOLO,₹39,
4:15 PM,SOLO,₹24,
4:30 PM,DUO,₹49,
4:45 PM,SOLO,₹59,
5:00 PM,SOLO,₹24,
